KP849469.1 	Monkeypox virus isolate Boende_DRC_2008, complete genome	Democratic Republic of the Congo		Monkeypox virus	complete
KP849470.1 	Monkeypox virus isolate Cote d'Ivoire_1971, complete genome	Cote d'Ivoire		Monkeypox virus	complete
KP849471.1 	Monkeypox virus isolate Yambuku_DRC_1985, complete genome	Democratic Republic of the Congo		Monkeypox virus	complete
MK783028.1 	UNVERIFIED: Monkeypox virus strain 3019, complete genome	Nigeria: Rivers State	Homo sapiens	Monkeypox virus	complete
MK783029.1 	UNVERIFIED: Monkeypox virus strain 3029, complete genome	Nigeria: Rivers State	Homo sapiens	Monkeypox virus	complete
MK783030.1 	UNVERIFIED: Monkeypox virus strain 3025, complete genome	Nigeria: Rivers State	Homo sapiens	Monkeypox virus	complete
MK783031.1 	UNVERIFIED: Monkeypox virus strain 3020, complete genome	Nigeria: Rivers State	Homo sapiens	Monkeypox virus	complete
MK783032.1 	UNVERIFIED: Monkeypox virus strain 3030, complete genome	Nigeria: Rivers State	Homo sapiens	Monkeypox virus	complete
MN346690.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_North_Bic, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346692.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_North_Mama, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346693.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_North_Ponan, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346694.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_North_Saro, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346695.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_North_Sidonie, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346696.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_North_Surprise_1, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346698.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_South_Pushkin, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346699.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_South_Ravel_1, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346700.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2017_South_Ravel_2, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN346702.1 	UNVERIFIED: Monkeypox virus isolate MPXV_TNP_2018_East_Paddy, complete genome	Cote d'Ivoire	Pan troglodytes verus	Monkeypox virus	complete
MN648051.1 	Monkeypox virus strain Israel_2018	Israel	Homo sapiens	Monkeypox virus	complete
